avgAnnCount,avgDeathsPerYear,PctBachDeg25_Over,PctPrivateCoverage,medIncome,PctUnemployed16_Over,PctHS25_Over,TARGET_deathRate,povertyPercent
1397,469,19.6,75.1,61898,8,23.2,164.9,11.2
173,70,22.7,70.2,48127,7.8,26,161.3,18.6
102,50,16,63.7,49348,7,29,174.7,14.6
427,202,9.3,58.4,44243,12.1,31.6,194.8,17.1
57,26,15,61.6,49955,4.8,33.4,144.4,12.5
428,152,11.9,60,52313,12.9,30.4,176,15.6
250,97,11.9,49.5,37782,8.9,29.8,175.9,23.2
146,71,11.3,55.8,40189,8.9,31.6,183.6,17.8
88,36,12,55.5,42579,10.3,32.2,190.5,22.3
4025,1380,16.2,69.9,60397,9.2,28.8,177.8,13.1
113,36,26.2,67.2,54721,5.9,17.2,121.4,12.7
740,269,15.9,64.4,51395,8.2,26.7,172.7,15.7
55,26,14.2,64.4,52673,8.3,29.2,188.3,12.6
3438,1118,20.9,73.3,71890,7.5,24.3,165.3,9.9
2265,901,18.1,65.2,50083,8.4,25.7,171,16.3
251,106,10.7,58.3,43823,9.4,34.4,174.2,19.3
1390,483,20.3,74.5,61653,8.5,22.7,169.9,11.9
32,12,10.1,64.7,51022,10.6,33.1,153.8,13.9
305,120,16.4,65.7,49819,6.4,22.6,162.8,15.7
1081,367,21.3,68.7,53733,8.2,23,163.3,15.7
134,50,25.7,78.3,41837,8.8,17.4,140.8,28.4
958,403,9.8,54.6,44342,9,27.8,169.4,20.5
94,41,7.9,55.6,35615,9,47.1,189.7,21.5
499,215,12.7,70,56737,9.7,38.2,206.1,13.2
152,70,5.4,60.2,37625,9.2,49.4,236.7,22.1
80,40,8.5,56.1,33817,14.4,49.1,196.3,22.2
164,69,11,68.3,43572,6.4,43.7,186.2,15.1
564,237,14.8,63.3,34887,6.8,31.9,194,21.9
50,25,7.6,52.4,32162,18.1,48.9,226.5,21.8
70,26,5.8,48.7,32961,12.3,49.1,212.9,25.1
25,19,8.8,55.2,41838,6.5,44.3,185.6,17.4
280,137,8.4,53.4,36739,9.2,44.4,217,21.4
45,21,9.8,61.3,32705,9.4,36.6,209.9,28.9
58,22,7,65.1,41039,6.7,50.2,128,17
250,103,11.2,61.9,36996,7.2,44,195.1,21.1
145,66,6.9,50.5,35980,8.1,50,212.1,21.2
218,85,12.6,69.5,48178,7.2,42.8,184.1,12.9
68,29,9.3,65.8,41010,7.9,47.7,153,15.3
449,192,13.5,64,42121,7.4,39.5,206.7,13.9
182,78,11.7,66.9,41121,6.8,41.1,194.2,16.7
245,101,18.2,73.3,66950,8.4,32.1,178.2,10.2
1285,539,14.7,66,43936,7,37.3,205.4,16.8
124,50,9.3,56.4,40568,7.2,49.7,218.4,20
139,60,5.7,51.7,34295,10.1,43.4,226.9,24.4
245,113,5.5,56.1,36437,10.9,41.6,240.1,20.2
137,70,3.2,39.7,24707,13.3,43.9,234.8,34.9
373,144,14.5,67.6,43729,4.9,40.9,188.8,17.9
208,87,11.4,70.3,43356,7,45.1,184.6,15.2
168,78,7.8,59.6,35799,10.3,47.5,209.5,20.6
418,184,12.5,56.4,35046,5.1,37.9,210,20.5
170,76,8.5,58.6,40012,8.8,50.2,198.4,16.1
163,76,5.4,51.6,29839,14.1,41,240.8,28.1
382,132,20.6,76.5,43835,5.8,29.9,155.9,22.5
86,39,8.7,60.5,36351,7.3,49.4,190.7,19.3
105,52,11.1,63.7,44446,12.3,41.2,209.7,13
160,72,8.2,61.6,36375,8.4,48,199.8,19.6
308,123,18.7,70.9,40195,5.5,34.5,184.4,18.4
45,19,7.3,59.8,38204,4.9,46,139.8,16.7
45,21,7.3,71.6,44801,8.2,50.1,213.3,16.5
50,23,10,60,34341,5.7,47.4,176.8,17.6
183,73,9,63.5,41420,7,46.4,169.8,17.6
328,114,14.8,73.6,59472,3.7,37.8,171.5,10
482,206,12,60.6,40270,6.6,39.5,198.2,17.7
161,68,10.6,59.6,37468,6.7,46.3,168.6,20.8
72,32,6.3,57.4,46383,10.6,47.9,214.7,17.7
89,41,8.2,51.6,33041,8.9,46.5,204,23.1
76,36,7.6,60.2,32456,10,40.5,170.4,25.8
87,39,11.7,63.7,40305,9.5,43.6,172.2,16.8
56,19,7.1,68,36466,7.6,52.7,168.1,17.1
61,27,7.2,62.3,41019,10.9,49.2,199.1,15.8
142,60,9.3,59.7,38387,8,48.4,189.5,19.7
236,102,7.5,54.6,37242,9.9,40.9,183.8,20
65,33,5.3,45.1,29331,14.8,43,259.5,26.1
120,50,6,63.5,40013,8.1,48.7,202.6,18.5
35,14,7.8,61.6,38600,8.4,47.6,185.8,20.3
554,217,12.2,63,41932,8.6,38.1,185.5,17.2
134,69,4.5,54.6,34419,10.1,46,235.4,22.8
164,73,8.5,63.9,42063,10.1,43.7,206,17.8
90,45,14.6,62.7,41294,7.9,35,217.5,14.9
254,112,10.6,68.4,46375,6,39.8,168.4,13.7
88,42,18.9,65.9,44395,7.2,30.2,171.7,13.6
1214,406,20,72.5,54141,6.1,31.3,158.6,12
71,33,12.4,73.4,50998,3.7,42.5,166.4,10.5
103,50,11.9,64.2,41810,7.5,40,190.1,16.5
238,79,20.6,84.1,68430,3.1,33.8,157.9,5.9
356,123,13.5,73.4,52485,5.1,38.5,160.1,10.7
184,70,8.4,56.6,45316,4.8,43.3,157.6,16
323,123,15.8,78.2,59020,5.8,34.9,176.6,8.8
109,43,10.1,67.4,43562,6.5,42.7,176.4,14.7
2015,707,28.3,82.5,61937,4.9,19,153.8,13.4
463,201,11.5,77.7,54359,6,40.2,178.9,9.9
208,77,19.7,75.8,49717,6.2,32.9,158.7,11
187,104,15.4,66.5,46475,7,33.2,192.8,13.9
177,72,16.2,72.4,52224,6.1,34.6,155.6,13.9
454,177,19.9,74.8,48102,5.8,26.9,163.4,14.4
23,13,12,68.9,44562,7.2,39.2,171.9,12.8
579,206,14.8,77.1,52149,5.3,38.5,159.4,9.9
68,25,8.8,59.8,41418,10.1,40.7,166.4,17
257,108,13.1,74.8,46972,4.6,38.7,166.9,15
187,74,14.8,78.2,53328,3.5,39,158.4,8.7
